Truth,Dare
What is the most embarrassing thing that has ever happened to you?,Sing a song in public.
Have you ever lied to your best friend? What was it about?,Do a dance in the middle of the room.
What is your biggest fear?,Eat a spoonful of hot sauce.
What is your biggest regret?,Text your crush and tell them how you feel.
Have you ever cheated on a test or exam? What was the result?,Do 10 push-ups right now.
Have you ever stolen something? What was it?,Do a cartwheel.
Have you ever cheated on a significant other? What happened?,Call your best friend and speak in a different accent for the entire conversation.
What is your biggest pet peeve?,Send a text message to a family member saying that you're dropping out of school (but make sure to tell them it's just a dare afterwards).
Have you ever told a secret that you promised to keep?,Go outside and do the chicken dance for 30 seconds.
What is the most embarrassing thing in your search history?,Eat a spoonful of peanut butter without drinking anything for 30 seconds.